District,Party,Votes
Akershus,Alliansen - Alternativ for Norge,309
Akershus,Arbeiderpartiet,95609
Akershus,Feministisk Initiativ,0
Akershus,Folkeaksjonen Nei til mer bompenger,634
Akershus,Fremskrittspartiet,38779
Akershus,Generasjonspartiet,112
Akershus,Hoeyre,101439
Akershus,Helsepartiet,1161
Akershus,Industri- og Naeringspartiet,489
Akershus,Konservativt,719
Akershus,Kristelig Folkeparti,7580
Akershus,Kystpartiet,0
Akershus,Liberalistene,636
Akershus,Miljoepartiet De Groenne,17461
Akershus,Norges Kommunistiske Parti,0
Akershus,Norgesdemokratene,4007
Akershus,Partiet Sentrum,953
Akershus,Pasientfokus,0
Akershus,Pensjonistpartiet,2286
Akershus,Piratpartiet,338
Akershus,Roedt,14572
Akershus,Redd Naturen,0
Akershus,Senterpartiet,32584
Akershus,SV - Sosialistisk Venstreparti,25240
Akershus,Venstre,25393
Aust-Agder,Alliansen - Alternativ for Norge,45
Aust-Agder,Arbeiderpartiet,16147
Aust-Agder,Feministisk Initiativ,0
Aust-Agder,Folkeaksjonen Nei til mer bompenger,0
Aust-Agder,Fremskrittspartiet,8728
Aust-Agder,Generasjonspartiet,0
Aust-Agder,Hoeyre,13305
Aust-Agder,Helsepartiet,190
Aust-Agder,Industri- og Naeringspartiet,279
Aust-Agder,Konservativt,573
Aust-Agder,Kristelig Folkeparti,5749
Aust-Agder,Kystpartiet,0
Aust-Agder,Liberalistene,102
Aust-Agder,Miljoepartiet De Groenne,1976
Aust-Agder,Norges Kommunistiske Parti,0
Aust-Agder,Norgesdemokratene,917
Aust-Agder,Partiet Sentrum,230
Aust-Agder,Pasientfokus,0
Aust-Agder,Pensjonistpartiet,380
Aust-Agder,Piratpartiet,71
Aust-Agder,Roedt,2456
Aust-Agder,Redd Naturen,0
Aust-Agder,Senterpartiet,8907
Aust-Agder,SV - Sosialistisk Venstreparti,3644
Aust-Agder,Venstre,2136
Buskerud,Alliansen - Alternativ for Norge,147
Buskerud,Arbeiderpartiet,40575
Buskerud,Feministisk Initiativ,0
Buskerud,Folkeaksjonen Nei til mer bompenger,126
Buskerud,Fremskrittspartiet,17509
Buskerud,Generasjonspartiet,0
Buskerud,Hoeyre,31544
Buskerud,Helsepartiet,421
Buskerud,Industri- og Naeringspartiet,275
Buskerud,Konservativt,330
Buskerud,Kristelig Folkeparti,3319
Buskerud,Kystpartiet,0
Buskerud,Liberalistene,244
Buskerud,Miljoepartiet De Groenne,4251
Buskerud,Norges Kommunistiske Parti,0
Buskerud,Norgesdemokratene,1976
Buskerud,Partiet Sentrum,440
Buskerud,Pasientfokus,0
Buskerud,Pensjonistpartiet,520
Buskerud,Piratpartiet,115
Buskerud,Roedt,4941
Buskerud,Redd Naturen,0
Buskerud,Senterpartiet,23068
Buskerud,SV - Sosialistisk Venstreparti,8062
Buskerud,Venstre,5207
Finnmark,Alliansen - Alternativ for Norge,50
Finnmark,Arbeiderpartiet,12228
Finnmark,Feministisk Initiativ,0
Finnmark,Folkeaksjonen Nei til mer bompenger,0
Finnmark,Fremskrittspartiet,4220
Finnmark,Generasjonspartiet,0
Finnmark,Hoeyre,2664
Finnmark,Helsepartiet,113
Finnmark,Industri- og Naeringspartiet,179
Finnmark,Konservativt,138
Finnmark,Kristelig Folkeparti,648
Finnmark,Kystpartiet,0
Finnmark,Liberalistene,70
Finnmark,Miljoepartiet De Groenne,892
Finnmark,Norges Kommunistiske Parti,0
Finnmark,Norgesdemokratene,667
Finnmark,Partiet Sentrum,69
Finnmark,Pasientfokus,4950
Finnmark,Pensjonistpartiet,0
Finnmark,Piratpartiet,0
Finnmark,Roedt,1959
Finnmark,Redd Naturen,0
Finnmark,Senterpartiet,7157
Finnmark,SV - Sosialistisk Venstreparti,2415
Finnmark,Venstre,564
Hedmark,Alliansen - Alternativ for Norge,100
Hedmark,Arbeiderpartiet,38136
Hedmark,Feministisk Initiativ,0
Hedmark,Folkeaksjonen Nei til mer bompenger,81
Hedmark,Fremskrittspartiet,9696
Hedmark,Generasjonspartiet,0
Hedmark,Hoeyre,12191
Hedmark,Helsepartiet,293
Hedmark,Industri- og Naeringspartiet,172
Hedmark,Konservativt,219
Hedmark,Kristelig Folkeparti,1876
Hedmark,Kystpartiet,0
Hedmark,Liberalistene,135
Hedmark,Miljoepartiet De Groenne,2382
Hedmark,Norges Kommunistiske Parti,0
Hedmark,Norgesdemokratene,1355
Hedmark,Partiet Sentrum,210
Hedmark,Pasientfokus,0
Hedmark,Pensjonistpartiet,1482
Hedmark,Piratpartiet,0
Hedmark,Roedt,3876
Hedmark,Redd Naturen,97
Hedmark,Senterpartiet,32286
Hedmark,SV - Sosialistisk Venstreparti,7902
Hedmark,Venstre,2642
Hordaland,Alliansen - Alternativ for Norge,206
Hordaland,Arbeiderpartiet,68945
Hordaland,Feministisk Initiativ,0
Hordaland,Folkeaksjonen Nei til mer bompenger,403
Hordaland,Fremskrittspartiet,38352
Hordaland,Generasjonspartiet,87
Hordaland,Hoeyre,74282
Hordaland,Helsepartiet,490
Hordaland,Industri- og Naeringspartiet,1738
Hordaland,Konservativt,1384
Hordaland,Kristelig Folkeparti,14724
Hordaland,Kystpartiet,107
Hordaland,Liberalistene,527
Hordaland,Miljoepartiet De Groenne,11940
Hordaland,Norges Kommunistiske Parti,77
Hordaland,Norgesdemokratene,2876
Hordaland,Partiet Sentrum,591
Hordaland,Pasientfokus,0
Hordaland,Pensjonistpartiet,2286
Hordaland,Piratpartiet,262
Hordaland,Roedt,14150
Hordaland,Redd Naturen,0
Hordaland,Senterpartiet,29981
Hordaland,SV - Sosialistisk Venstreparti,26901
Hordaland,Venstre,13163
Moere og Romsdal,Alliansen - Alternativ for Norge,126
Moere og Romsdal,Arbeiderpartiet,29928
Moere og Romsdal,Feministisk Initiativ,0
Moere og Romsdal,Folkeaksjonen Nei til mer bompenger,79
Moere og Romsdal,Fremskrittspartiet,32746
Moere og Romsdal,Generasjonspartiet,0
Moere og Romsdal,Hoeyre,24123
Moere og Romsdal,Helsepartiet,280
Moere og Romsdal,Industri- og Naeringspartiet,1096
Moere og Romsdal,Konservativt,812
Moere og Romsdal,Kristelig Folkeparti,7905
Moere og Romsdal,Kystpartiet,0
Moere og Romsdal,Liberalistene,175
Moere og Romsdal,Miljoepartiet De Groenne,3697
Moere og Romsdal,Norges Kommunistiske Parti,0
Moere og Romsdal,Norgesdemokratene,1752
Moere og Romsdal,Partiet Sentrum,325
Moere og Romsdal,Pasientfokus,0
Moere og Romsdal,Pensjonistpartiet,790
Moere og Romsdal,Piratpartiet,0
Moere og Romsdal,Roedt,4933
Moere og Romsdal,Redd Naturen,0
Moere og Romsdal,Senterpartiet,25938
Moere og Romsdal,SV - Sosialistisk Venstreparti,9341
Moere og Romsdal,Venstre,4364
Nord-Troendelag,Alliansen - Alternativ for Norge,79
Nord-Troendelag,Arbeiderpartiet,25730
Nord-Troendelag,Feministisk Initiativ,0
Nord-Troendelag,Folkeaksjonen Nei til mer bompenger,23
Nord-Troendelag,Fremskrittspartiet,6146
Nord-Troendelag,Generasjonspartiet,0
Nord-Troendelag,Hoeyre,8121
Nord-Troendelag,Helsepartiet,145
Nord-Troendelag,Industri- og Naeringspartiet,359
Nord-Troendelag,Konservativt,179
Nord-Troendelag,Kristelig Folkeparti,1726
Nord-Troendelag,Kystpartiet,0
Nord-Troendelag,Liberalistene,60
Nord-Troendelag,Miljoepartiet De Groenne,1424
Nord-Troendelag,Norges Kommunistiske Parti,0
Nord-Troendelag,Norgesdemokratene,754
Nord-Troendelag,Partiet Sentrum,129
Nord-Troendelag,Pasientfokus,0
Nord-Troendelag,Pensjonistpartiet,643
Nord-Troendelag,Piratpartiet,55
Nord-Troendelag,Roedt,3035
Nord-Troendelag,Redd Naturen,0
Nord-Troendelag,Senterpartiet,22089
Nord-Troendelag,SV - Sosialistisk Venstreparti,4389
Nord-Troendelag,Venstre,1557
Nordland,Alliansen - Alternativ for Norge,99
Nordland,Arbeiderpartiet,38611
Nordland,Feministisk Initiativ,0
Nordland,Folkeaksjonen Nei til mer bompenger,0
Nordland,Fremskrittspartiet,16338
Nordland,Generasjonspartiet,0
Nordland,Hoeyre,20532
Nordland,Helsepartiet,339
Nordland,Industri- og Naeringspartiet,577
Nordland,Konservativt,314
Nordland,Kristelig Folkeparti,2637
Nordland,Kystpartiet,0
Nordland,Liberalistene,175
Nordland,Miljoepartiet De Groenne,3138
Nordland,Norges Kommunistiske Parti,38
Nordland,Norgesdemokratene,1807
Nordland,Partiet Sentrum,211
Nordland,Pasientfokus,0
Nordland,Pensjonistpartiet,586
Nordland,Piratpartiet,126
Nordland,Roedt,7273
Nordland,Redd Naturen,0
Nordland,Senterpartiet,28465
Nordland,SV - Sosialistisk Venstreparti,9620
Nordland,Venstre,3342
Oppland,Alliansen - Alternativ for Norge,81
Oppland,Arbeiderpartiet,34552
Oppland,Feministisk Initiativ,0
Oppland,Folkeaksjonen Nei til mer bompenger,66
Oppland,Fremskrittspartiet,8459
Oppland,Generasjonspartiet,0
Oppland,Hoeyre,12323
Oppland,Helsepartiet,185
Oppland,Industri- og Naeringspartiet,128
Oppland,Konservativt,212
Oppland,Kristelig Folkeparti,1537
Oppland,Kystpartiet,0
Oppland,Liberalistene,91
Oppland,Miljoepartiet De Groenne,2289
Oppland,Norges Kommunistiske Parti,0
Oppland,Norgesdemokratene,930
Oppland,Partiet Sentrum,184
Oppland,Pasientfokus,0
Oppland,Pensjonistpartiet,930
Oppland,Piratpartiet,65
Oppland,Roedt,3534
Oppland,Redd Naturen,0
Oppland,Senterpartiet,25619
Oppland,SV - Sosialistisk Venstreparti,5508
Oppland,Venstre,2370
Oslo,Alliansen - Alternativ for Norge,232
Oslo,Arbeiderpartiet,87158
Oslo,Feministisk Initiativ,275
Oslo,Folkeaksjonen Nei til mer bompenger,1072
Oslo,Fremskrittspartiet,22784
Oslo,Generasjonspartiet,0
Oslo,Hoeyre,89342
Oslo,Helsepartiet,593
Oslo,Industri- og Naeringspartiet,234
Oslo,Konservativt,474
Oslo,Kristelig Folkeparti,6922
Oslo,Kystpartiet,64
Oslo,Liberalistene,665
Oslo,Miljoepartiet De Groenne,32198
Oslo,Norges Kommunistiske Parti,123
Oslo,Norgesdemokratene,2585
Oslo,Partiet Sentrum,1367
Oslo,Pasientfokus,0
Oslo,Pensjonistpartiet,1312
Oslo,Piratpartiet,336
Oslo,Roedt,31352
Oslo,Redd Naturen,0
Oslo,Senterpartiet,11953
Oslo,SV - Sosialistisk Venstreparti,50382
Oslo,Venstre,38142
Rogaland,Alliansen - Alternativ for Norge,212
Rogaland,Arbeiderpartiet,57969
Rogaland,Feministisk Initiativ,0
Rogaland,Folkeaksjonen Nei til mer bompenger,316
Rogaland,Fremskrittspartiet,43382
Rogaland,Generasjonspartiet,0
Rogaland,Hoeyre,61992
Rogaland,Helsepartiet,500
Rogaland,Industri- og Naeringspartiet,1646
Rogaland,Konservativt,1400
Rogaland,Kristelig Folkeparti,20859
Rogaland,Kystpartiet,0
Rogaland,Liberalistene,424
Rogaland,Miljoepartiet De Groenne,6152
Rogaland,Norges Kommunistiske Parti,0
Rogaland,Norgesdemokratene,2634
Rogaland,Partiet Sentrum,911
Rogaland,Pasientfokus,0
Rogaland,Pensjonistpartiet,1327
Rogaland,Piratpartiet,202
Rogaland,Roedt,9620
Rogaland,Redd Naturen,0
Rogaland,Senterpartiet,26955
Rogaland,SV - Sosialistisk Venstreparti,13261
Rogaland,Venstre,9106
Sogn og Fjordane,Alliansen - Alternativ for Norge,43
Sogn og Fjordane,Arbeiderpartiet,16426
Sogn og Fjordane,Feministisk Initiativ,0
Sogn og Fjordane,Folkeaksjonen Nei til mer bompenger,0
Sogn og Fjordane,Fremskrittspartiet,5771
Sogn og Fjordane,Generasjonspartiet,0
Sogn og Fjordane,Hoeyre,8529
Sogn og Fjordane,Helsepartiet,89
Sogn og Fjordane,Industri- og Naeringspartiet,293
Sogn og Fjordane,Konservativt,253
Sogn og Fjordane,Kristelig Folkeparti,2389
Sogn og Fjordane,Kystpartiet,0
Sogn og Fjordane,Liberalistene,47
Sogn og Fjordane,Miljoepartiet De Groenne,1542
Sogn og Fjordane,Norges Kommunistiske Parti,0
Sogn og Fjordane,Norgesdemokratene,453
Sogn og Fjordane,Partiet Sentrum,141
Sogn og Fjordane,Pasientfokus,0
Sogn og Fjordane,Pensjonistpartiet,173
Sogn og Fjordane,Piratpartiet,0
Sogn og Fjordane,Roedt,2489
Sogn og Fjordane,Redd Naturen,0
Sogn og Fjordane,Senterpartiet,17634
Sogn og Fjordane,SV - Sosialistisk Venstreparti,3675
Sogn og Fjordane,Venstre,2135
Soer-Troendelag,Alliansen - Alternativ for Norge,216
Soer-Troendelag,Arbeiderpartiet,57621
Soer-Troendelag,Feministisk Initiativ,0
Soer-Troendelag,Folkeaksjonen Nei til mer bompenger,0
Soer-Troendelag,Fremskrittspartiet,16650
Soer-Troendelag,Generasjonspartiet,0
Soer-Troendelag,Hoeyre,31837
Soer-Troendelag,Helsepartiet,330
Soer-Troendelag,Industri- og Naeringspartiet,658
Soer-Troendelag,Konservativt,305
Soer-Troendelag,Kristelig Folkeparti,4211
Soer-Troendelag,Kystpartiet,0
Soer-Troendelag,Liberalistene,247
Soer-Troendelag,Miljoepartiet De Groenne,9268
Soer-Troendelag,Norges Kommunistiske Parti,63
Soer-Troendelag,Norgesdemokratene,1723
Soer-Troendelag,Partiet Sentrum,442
Soer-Troendelag,Pasientfokus,0
Soer-Troendelag,Pensjonistpartiet,3351
Soer-Troendelag,Piratpartiet,212
Soer-Troendelag,Roedt,10852
Soer-Troendelag,Redd Naturen,0
Soer-Troendelag,Senterpartiet,29181
Soer-Troendelag,SV - Sosialistisk Venstreparti,17635
Soer-Troendelag,Venstre,9268
Telemark,Alliansen - Alternativ for Norge,107
Telemark,Arbeiderpartiet,29883
Telemark,Feministisk Initiativ,0
Telemark,Folkeaksjonen Nei til mer bompenger,87
Telemark,Fremskrittspartiet,12297
Telemark,Generasjonspartiet,0
Telemark,Hoeyre,15198
Telemark,Helsepartiet,193
Telemark,Industri- og Naeringspartiet,596
Telemark,Konservativt,631
Telemark,Kristelig Folkeparti,4327
Telemark,Kystpartiet,0
Telemark,Liberalistene,110
Telemark,Miljoepartiet De Groenne,2729
Telemark,Norges Kommunistiske Parti,0
Telemark,Norgesdemokratene,1379
Telemark,Partiet Sentrum,263
Telemark,Pasientfokus,0
Telemark,Pensjonistpartiet,419
Telemark,Piratpartiet,85
Telemark,Roedt,4506
Telemark,Redd Naturen,0
Telemark,Senterpartiet,15963
Telemark,SV - Sosialistisk Venstreparti,5934
Telemark,Venstre,2203
Troms,Alliansen - Alternativ for Norge,66
Troms,Arbeiderpartiet,25168
Troms,Feministisk Initiativ,0
Troms,Folkeaksjonen Nei til mer bompenger,130
Troms,Fremskrittspartiet,12998
Troms,Generasjonspartiet,0
Troms,Hoeyre,12493
Troms,Helsepartiet,225
Troms,Industri- og Naeringspartiet,319
Troms,Konservativt,186
Troms,Kristelig Folkeparti,2062
Troms,Kystpartiet,0
Troms,Liberalistene,187
Troms,Miljoepartiet De Groenne,2768
Troms,Norges Kommunistiske Parti,0
Troms,Norgesdemokratene,1370
Troms,Partiet Sentrum,175
Troms,Pasientfokus,0
Troms,Pensjonistpartiet,0
Troms,Piratpartiet,83
Troms,Roedt,4455
Troms,Redd Naturen,0
Troms,Senterpartiet,17698
Troms,SV - Sosialistisk Venstreparti,10029
Troms,Venstre,2298
Vest-Agder,Alliansen - Alternativ for Norge,53
Vest-Agder,Arbeiderpartiet,21845
Vest-Agder,Feministisk Initiativ,0
Vest-Agder,Folkeaksjonen Nei til mer bompenger,62
Vest-Agder,Fremskrittspartiet,13821
Vest-Agder,Generasjonspartiet,0
Vest-Agder,Hoeyre,22359
Vest-Agder,Helsepartiet,167
Vest-Agder,Industri- og Naeringspartiet,360
Vest-Agder,Konservativt,969
Vest-Agder,Kristelig Folkeparti,14598
Vest-Agder,Kystpartiet,0
Vest-Agder,Liberalistene,164
Vest-Agder,Miljoepartiet De Groenne,3330
Vest-Agder,Norges Kommunistiske Parti,0
Vest-Agder,Norgesdemokratene,2709
Vest-Agder,Partiet Sentrum,478
Vest-Agder,Pasientfokus,0
Vest-Agder,Pensjonistpartiet,492
Vest-Agder,Piratpartiet,164
Vest-Agder,Roedt,3355
Vest-Agder,Redd Naturen,0
Vest-Agder,Senterpartiet,10859
Vest-Agder,SV - Sosialistisk Venstreparti,5615
Vest-Agder,Venstre,3834
Vestfold,Alliansen - Alternativ for Norge,146
Vestfold,Arbeiderpartiet,37518
Vestfold,Feministisk Initiativ,0
Vestfold,Folkeaksjonen Nei til mer bompenger,71
Vestfold,Fremskrittspartiet,17271
Vestfold,Generasjonspartiet,0
Vestfold,Hoeyre,34831
Vestfold,Helsepartiet,383
Vestfold,Industri- og Naeringspartiet,403
Vestfold,Konservativt,662
Vestfold,Kristelig Folkeparti,4861
Vestfold,Kystpartiet,0
Vestfold,Liberalistene,198
Vestfold,Miljoepartiet De Groenne,5428
Vestfold,Norges Kommunistiske Parti,0
Vestfold,Norgesdemokratene,1826
Vestfold,Partiet Sentrum,381
Vestfold,Pasientfokus,0
Vestfold,Pensjonistpartiet,562
Vestfold,Piratpartiet,125
Vestfold,Roedt,6155
Vestfold,Redd Naturen,0
Vestfold,Senterpartiet,13775
Vestfold,SV - Sosialistisk Venstreparti,8670
Vestfold,Venstre,5771
Oestfold,Alliansen - Alternativ for Norge,172
Oestfold,Arbeiderpartiet,49345
Oestfold,Feministisk Initiativ,0
Oestfold,Folkeaksjonen Nei til mer bompenger,285
Oestfold,Fremskrittspartiet,20527
Oestfold,Generasjonspartiet,0
Oestfold,Hoeyre,30211
Oestfold,Helsepartiet,393
Oestfold,Industri- og Naeringspartiet,263
Oestfold,Konservativt,688
Oestfold,Kristelig Folkeparti,5414
Oestfold,Kystpartiet,0
Oestfold,Liberalistene,263
Oestfold,Miljoepartiet De Groenne,4782
Oestfold,Norges Kommunistiske Parti,0
Oestfold,Norgesdemokratene,2348
Oestfold,Partiet Sentrum,336
Oestfold,Pasientfokus,0
Oestfold,Pensjonistpartiet,1869
Oestfold,Piratpartiet,172
Oestfold,Roedt,7418
Oestfold,Redd Naturen,0
Oestfold,Senterpartiet,22849
Oestfold,SV - Sosialistisk Venstreparti,9840
Oestfold,Venstre,4771